Review Number,Source,Location,Review
1,google reviews,Montreal - Mount Royal,02 September 2023 went to the branch to deposit my check Narod Taslakian was the person at the counter ask her to deposit my check and pay my bill because I have no hood on my account she said no you have a old on your account for 5 days …
2,google reviews,Montreal - Mount Royal,I went to this branch to open a cheq and sav accounts. I had an appointment with Antony who made the experience smooth and informative. Highly recommended. I was able to use the debit card on the same day.
3,google reviews,Montreal - Mount Royal,"Literally speaking very bad experience with this branch specially with ""Siroun"" even she is a supervisor here but behaving like she is a manager. She just know one thing that how to get paid and get more and more money. But she doesn't know how to deal with customers even she doesn't have sense how to talk with customers."
4,google reviews,Montreal - Mount Royal,"Don’t expect no help at all, expect to be humiliated and embarrassed and yeah be ready to be asked the perosnal questions. …"
5,google reviews,Montreal - Mount Royal,"Not only the service at the branch but the whole service at scotia bank is not good anymore. I spoke with the supervisor who didn’t know nothing. She doesn’t know I could do an advance from my credit to cover the overdraft, she didn’t know …"
6,google reviews,Montreal - Mount Royal,I had a great experience with a branch advisor Dolly Matar. She has a humble and polite nature and helped me a lot in approving of credit card.
7,google reviews,Montreal - Mount Royal,Worst experience ever in this bank. The guy who is the advisor named Alain know nothing and have very rude behaviour. I went two times for my same problem but no solution. Zero star for their service.
8,google reviews,Montreal - Mount Royal,Made an appointment with a mortgage advisor to transfer my mortgage from CIBC to Scotia. I showed up on the time and date of the confirmation email to find notices everywhere that they are temporarily closed. My meeting was supposed to be …
9,google reviews,Montreal - Mount Royal,"Very bad service., specially ""Siroun"" ""Jennette Zid"", she behaves too much rude with the customers., Mannerless staff they don't have sense to talk with the customers"
10,google reviews,Montreal - Mount Royal,Came in to open a business account and had an excellent experience with this branch and especially with Nadine Waked. She made the experience smooth and informative. Highly recommended!
11,google reviews,Montreal - Mount Royal,"very very bad experience with supervisor siroun estifanian she behaves very rude with me and other customers, she did discriminate with people to, she just sit there and get angry and angry on customers i never gonna visit to that branch."
12,google reviews,Montreal - Mount Royal,"The branch manager at this location is very disrespectful and has a lack of customer-oriented focus. I was told one thing over the phone, once I took the time to get the necessary documents based on what I was told and made my way to the …"
13,google reviews,Montreal - Mount Royal,I always waited too long whenever I visit there. I can see so many people moving around but only 2 persons available at the desk. They should improve the waiting time.
14,google reviews,Montreal - Mount Royal,"Well , mine experience was too good. Really I got amazing service from this Scotia bank branch. I am student here and I did not received my credit card from 6 months but Mr. Jagraj kang who are working in this branch helps me alot to get my credit card and finally I received it. Thanks alot Sir."
15,google reviews,Montreal - Mount Royal,"Worse service ever seen,very bad experience with sarah and jagraj no follow up no communication i was keep on visiting bank for same reason for 2 months no one did any follow up and keep on insisting me that i dont need to visit bank they will work on my file but they didn’t ,worse experience."
16,google reviews,Montreal - Mount Royal,Worst service. Go to chabanel branch instead. If you dont believe call the branch and ask for a manager to call you back. I've waited 6 months and nothing.
17,google reviews,Montreal - Mount Royal,Zero stars if I could. Worst management ever. Gives you their business card but dont answer multiple emails or calls.
18,google reviews,Montreal - Mount Royal,Always great service and information!
19,google reviews,Montreal - Mount Royal,"I was asked to come into the branch to pick up a document. It took over 1 hour as they didn't know how to proceed with generating such document.Very disorganized, excuses for every 15 minute delay.All banks make you wait but this was beyond..."
20,google reviews,Montreal - Mount Royal,the worst service i ever had. the customer service manager was soo not knowledgeable. the branch manager was supposed to call me and she never did. How can you trust a bank when the managers word has no value. ruins the banks image.
21,google reviews,Montreal - Mount Royal,Very bad experience from NICK. He don’t know how to speak politely. No manners.
22,google reviews,Montreal - Mount Royal,"I don't know why are there negative comments, I think it should be misunderstanding. My experience was good. They are helpfull!!"
23,google reviews,Montreal - Mount Royal,"Very bad costumer service, cashiers was explaining to costumer how to use the online banking and more than 16 persons are waiting on line"
24,google reviews,Montreal - Mount Royal,There improving a bit still need some work on some of there tailor but some are nice. Check still freeze when it a pay check
25,google reviews,Montreal - Mount Royal,Went there with an senior client because it was the conveniently located in a mail. The cashier was no help and told my client to go to her locale branch instead.
26,google reviews,Montreal - Mount Royal,Disgusting staff specially Siroun very bad supervisor
27,google reviews,Montreal - Mount Royal,The customer service team is there for us every time something is needed...and the financial advisors always giving professional advise !
28,google reviews,Montreal - Mount Royal,"Worest service in Canada.... i work in client service, have never seen the service like dis..."
29,google reviews,Montreal - Mount Royal,Terrible service. Cannot get a hold of anyone to close my mom's account. She is passed away. Terrible
30,google reviews,Montreal - Mount Royal,They book me for appoiment on Sunday !When i get there the bank was closed !Very very bad experience !
31,google reviews,Montreal - Mount Royal,Suze and Maria are a joke. Constant lies and no respect for the customer
32,google reviews,Montreal - Mount Royal,"Worst experience , 0/10 for customer service."
33,google reviews,Montreal - Mount Royal,Experience excellence du service de l accueuil
34,google reviews,Montreal - Mount Royal,Had amazing service with JAGRAJ KANG.
35,google reviews,Montreal - Mount Royal,Worst Scotiabank period
36,google reviews,Montreal - Mount Royal,I actually kinda like this place !
37,google reviews,Montreal - Mount Royal,Very rude clerks
38,google reviews,Montreal - Mount Royal,0 stars.
39,google reviews,Montreal - Mount Royal,Discusting staff
40,google reviews,Montreal - Mount Royal,Bad service
41,google reviews,Montreal - Mount Royal,Helpful
42,google reviews,Montreal - Mount Royal,Manque complet de professionnalisme. Employés à l'accueil nonchalants et condescendants qui préfèrent plutôt écouter de la musique et jaser entre eux que de démontrer un tant soit peu d'attention à votre arrivée et votre cas. …
43,google reviews,Montreal - Mount Royal,"Très mauvaise service de part de la réception. La meilleure réponse qu'ils donnent c'est aller à vôtre succursale, mais si c'est pour ouvrir une compte vous pouvez rester et chercher un conseiller."
44,google reviews,Montreal - Mount Royal,S'il y a moins de une étoile je la donnerais a cette banque qui ne réponds même pas ses clients qui ne donne aucune explication.. Même le service téléphonique est plus degueulace.
45,google reviews,Montreal - Mount Royal,La Banque Scotia offre un service impressionnant ainsi que du café gratuit je n'ai rien à dire c'est parfait des fois il y a de l'attente mais c'est normal
46,google reviews,Montreal - Mount Royal,Mme syrine khouja est super efficace et chaleureuse. Merci pour votre professionnalisme.
47,google reviews,Montreal - Mount Royal,Scotia toujours compliqué pas de communication entre les départements
48,google reviews,Montreal - Mount Royal,Personnel professionnel et acceuillant.
49,google reviews,Montreal - Mount Royal,tres mal accueilli...
50,google reviews,Montreal - Mount Royal,incompétent.
51,google reviews,Montreal - Mount Royal,Ma banque préféré!
52,google reviews,Montreal - Mount Royal,service minable
53,google reviews,Montreal - Mount Royal,Service parfait
54,google reviews,"Chem. de la Côte-des-Neiges, Montreal",I went to the branch to report fraud on my account and was treated with the upmost respec and understanding and willingness to help. The teller Georgio helped me resolve my issue on the spot with complete professionalism and kindness and even offered to contact customer service for me ! Excellent service
55,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Nasim Sadat, Conseillère en Petites Entreprises et Professions Libérales / Small Business Advisor, …"
56,google reviews,"Chem. de la Côte-des-Neiges, Montreal",One of the best branches of the scotia bank I have ever been.Giorgio is one of the nicest people I have ever met and he helped us very well and with kindness and compassion.
57,google reviews,"Chem. de la Côte-des-Neiges, Montreal",It is the worst customer service I have had around the world... it always takes hours to contact someone and I just waited 40 minutes for a fraud issue to be attended to... in that time they could have emptied my account and they are not …
58,google reviews,"Chem. de la Côte-des-Neiges, Montreal",They’re charging 15$ for just a balance certificate. It’s only one paper they have to print out and stamp it.
59,google reviews,"Chem. de la Côte-des-Neiges, Montreal","Had an appointment at 2 pm with lorenzo venturini, To open new scotia account , waited lot more after the appointment time there was no parking space outside to park the car i paid for the parking 2 hours more , also wasted the whole day in addition to open an account ."
60,google reviews,"Chem. de la Côte-des-Neiges, Montreal","very good impression. We made an appointment very quickly and everyone was as polite as possible. the manager was friendly, knowledgeable and she gave very good advice."
61,google reviews,"Chem. de la Côte-des-Neiges, Montreal",This branch is the absolute worst. I simply do not get the entitled behaviour of keeping clients and probable clients waiting for undefined amounts of time. I have seen this in other banks in Canada also. They just act blind to the waiting …
62,google reviews,"Chem. de la Côte-des-Neiges, Montreal","It seems that they operate in the banking systems of 80's! They do NOT accept the credit card or debit card of any other banks in order to receive the loan payment. In fact the only way possible to pay your loan is by cash!!! They force you to open an account in order to do any payments, and if you do not want to do that , then they make you bring cash to them. We live in a developed country and in a times when anything can be done remotely and electronically, but Scotia Bank does not accept the others bank carts."
63,google reviews,"Chem. de la Côte-des-Neiges, Montreal",Super bad service all that bad service from the management they sould to change the management
